1,0.18875
2,0.1305
3,5e-04
4,0.0925833333333333
13,0.00458333333333333
14,0.09175
17,0.00316666666666667
20,0.0421666666666667
21,0.0258333333333333
25,0.0325
26,0.000416666666666667
27,0.000166666666666667
29,0.0695833333333333
33,0.000416666666666667
35,0.000333333333333333
38,0.0174166666666667
46,0.0428333333333333
47,0.0435
49,0.0314166666666667
51,0.00075
53,8.33333333333333e-05
55,0.0310833333333333
56,0.000916666666666667
57,0.00316666666666667
58,0.0361666666666667
61,0.0305
63,0.000166666666666667
64,0.00183333333333333
65,8.33333333333333e-05
66,0.00166666666666667
70,0.0230833333333333
71,0.00875
73,0.018
74,0.00625
75,0.00225
83,0.00291666666666667
86,0.00216666666666667
87,0.00416666666666667
90,0.000333333333333333
91,0.00233333333333333
94,0.00308333333333333
97,0.00183333333333333
